Comments,SCHOOL NAME,FIELD,Grande Ecole or Ecole Spécialisée,PROGRAM NAME,SPECIALISATION,INTAKE,LEVEL OF ENTRY,CITY,PRICE,LENGHT,LANGUAGE,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Digital Marketing,,Fall,BAC+3,Nantes,13900,2,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Digital Marketing,,Fall,BAC+4,Nantes,19400,1,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Entrepreneurship & Innovation for Impact,,Fall,BAC+3,Nantes,13900,2,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Entrepreneurship & Innovation for Impact,,Fall,BAC+4,Nantes,19400,1,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Financial Analysis and Investment Management ,,Fall,BAC+3,Nantes,13900,2,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Financial Analysis and Investment Management ,,Fall,BAC+4,Nantes,19400,1,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Financial Markets and Sustainable Investments,,Fall,BAC+3,Nantes,13900,2,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Financial Markets and Sustainable Investments,,Fall,BAC+4,Paris,19400,1,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Food & Agribusiness Management,,Fall,BAC+3,Nantes,13900,2,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Food & Agribusiness Management,,Fall,BAC+4,Nantes,19400,1,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in International Management & Business,,Fall,BAC+3,Nantes,13900,2,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in International Management & Business,,Fall,BAC+4,Nantes,19400,1,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Management for Sustainable Business,,Fall,BAC+3,Nantes,13900,2,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Management for Sustainable Business,,Fall,BAC+4,Nantes,19400,1,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Management Control & Sustainability Performance,,Fall,BAC+3,Nantes,13900,2,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Management Control & Sustainability Performance,,Fall,BAC+4,Nantes,19400,1,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Public Policy and International Cooperation,,Fall,BAC+3,Nantes,13900,2,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Public Policy and International Cooperation,,Fall,BAC+4,Paris,19400,1,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Responsible Procurement and Supply Chain Management ,,Fall,BAC+3,Nantes,13900,2,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Responsible Procurement and Supply Chain Management ,,Fall,BAC+4,Nantes,19400,1,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Sustainable Luxury Management,,Fall,BAC+3,Nantes,13900,2,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Sustainable Luxury Management,,Fall,BAC+4,Paris,19400,1,English,,,,,,,
No alternance only stage alterné,Audencia ,Business School  📈,Grande Ecole 👑,Mastère  Spécialisé® (MS) Acteur Pour la Transition Écologique,,Fall,BAC+5,Nantes,16900,1,French,,,,,,,
No alternance only stage alterné,Audencia ,Business School  📈,Grande Ecole 👑,Mastère  Spécialisé® (MS) Management Global des Achats et de la Supply Chain,,Fall,BAC+5,Nantes,16900,1,French,,,,,,,
No alternance only stage alterné,Audencia ,Business School  📈,Grande Ecole 👑,Mastère  Spécialisé® (MS) Management responsable des Organisations Sportives,,Fall,BAC+5,Paris,16900,1,French,,,,,,,
No alternance only stage alterné,Audencia ,Business School  📈,Grande Ecole 👑,"Mastère  Spécialisé® (MS) Marketing, Design et Création",,Fall,BAC+5,Nantes,16900,1,French,,,,,,,
No alternance only stage alterné,Audencia ,Business School  📈,Grande Ecole 👑,Mastère  Spécialisé® (MS) Stratégies Digitales et Data Marketing,,Fall,BAC+5,Paris,16900,1,French,,,,,,,
No alternance only stage alterné,Audencia ,Business School  📈,Grande Ecole 👑,Mastère  Spécialisé® (MS) Stratégies Financières et Investissements Responsables,,Fall,BAC+5,Paris,17900,1,French,,,,,,,
Verify with Nico before applying,BELLECOUR (Galileo Group),Arts Schools 🎭,Ecole Spécialisée 🧢 ,Bachelor Design Graphique,,Fall,BAC,Lyon,7500,3,French,,,,,,,
Verify with Nico before applying,BELLECOUR (Galileo Group),Arts Schools 🎭,Ecole Spécialisée 🧢 ,Bachelor Design d'Espace,,Fall,BAC,Lyon,7500,3,French,,,,,,,
Verify with Nico before applying,BELLECOUR (Galileo Group),Arts Schools 🎭,Ecole Spécialisée 🧢 ,Bachelor Design de Mode,,Fall,BAC,Lyon,7500,3,French,,,,,,,
Verify with Nico before applying,BELLECOUR (Galileo Group),Arts Schools 🎭,Ecole Spécialisée 🧢 ,Bachelor Animation 2D,,Fall,BAC,Lyon,8900,3,French,,,,,,,
Verify with Nico before applying,BELLECOUR (Galileo Group),Arts Schools 🎭,Ecole Spécialisée 🧢 ,Bachelor Animation 3D,,Fall,BAC,Lyon,8900,3,French,,,,,,,
Verify with Nico before applying,BELLECOUR (Galileo Group),Arts Schools 🎭,Ecole Spécialisée 🧢 ,Bachelor Concept Art,,Fall,BAC,Lyon,8900,3,French,,,,,,,
Verify with Nico before applying,BELLECOUR (Galileo Group),Arts Schools 🎭,Ecole Spécialisée 🧢 ,Bachelor Game Design,,Fall,BAC,Lyon,8900,3,French,,,,,,,
Verify with Nico before applying,BELLECOUR (Galileo Group),Arts Schools 🎭,Ecole Spécialisée 🧢 ,Mastère Architecture d'Intérieur,,Fall,BAC+3,Lyon,0,2,French,,,,,,,
Verify with Nico before applying,BELLECOUR (Galileo Group),Arts Schools 🎭,Ecole Spécialisée 🧢 ,Mastère Direction Artistique et Design Digital,,Fall,BAC+3,Lyon,0,2,French,,,,,,,
,BESIGN School ,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Bachelor Assistant Designer in Sustainable Innovation,,Fall,BAC,Cagnes-sur-Mer,8500,3,English,,,,,,,
,BESIGN School ,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Master in Sustainable Innovation,,Fall,BAC+3,Cagnes-sur-Mer,11000,2,English,,,,,,,
,BRASSART École des Métiers de la Création,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Formation Infographie Éco-conception,,Fall,BAC,Paris,8200,3,English,,,,,,,
,BRASSART École des Métiers de la Création,Arts Schools 🎭,Ecole Spécialisée 🧢 ,BTS Montage Vidéo Postproduction,,Fall,BAC,Bordeaux,6540,3,French,,,,,,,
,BRASSART École des Métiers de la Création,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Formation Animation 3D & Immersion,Animation & Rigg/Animation & Rigg/Modélisation & Look Development/Modélisation & Look Development/FX / Compositing VFX for game/FX / Compositing VFX for game/,Fall,BAC,Paris,8200,5,English,,,,,,,
,BRASSART École des Métiers de la Création,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Formation Animation 3D & Immersion,Animation & Rigg/Animation & Rigg/Modélisation & Look Development/Modélisation & Look Development/FX / Compositing VFX for game/FX / Compositing VFX for game/,Fall,BAC,Paris,7700,5,French,,,,,,,
,BRASSART École des Métiers de la Création,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Formation Animation 3D & Immersion,Animation & Rigg/Animation & Rigg/Modélisation & Look Development/Modélisation & Look Development/FX / Compositing VFX for game/FX / Compositing VFX for game/,Fall,BAC,"Annecy, Lyon",6640,5,French,,,,,,,
,BRASSART École des Métiers de la Création,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Formation Animation 3D & Immersion,Animation & Rigg/Animation & Rigg/Modélisation & Look Development/Modélisation & Look Development/FX / Compositing VFX for game/FX / Compositing VFX for game/,Fall,BAC,"Lille, Strasbourg",6540,5,French,,,,,,,
,BRASSART École des Métiers de la Création,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Formation Direction Artistique,Direction artistique & Branding/Motion content/Digital thinking/Direction artistique & Branding/Motion content/Digital thinking/Interactivité & Innovation/ Espaces & Concepts Immersifs/,Fall,BAC,Paris,8200,5,English,,,,,,,
,BRASSART École des Métiers de la Création,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Formation Direction Artistique,Direction artistique & Branding/Motion content/Digital thinking/Direction artistique & Branding/Motion content/Digital thinking/Interactivité & Innovation/ Espaces & Concepts Immersifs/,Fall,BAC,Paris,7700,5,French,,,,,,,
,BRASSART École des Métiers de la Création,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Formation Infographie Éco-conception,,Fall,BAC,Paris,7700,3,French,,,,,,,
,BRASSART École des Métiers de la Création,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Formation Infographie Éco-conception,,Fall,BAC,"Annecy, Lyon",6640,3,French,,,,,,,
,BRASSART École des Métiers de la Création,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Formation Infographie Éco-conception,,Fall,BAC,"Lille, Strasbourg",6540,3,French,,,,,,,
,BRASSART École des Métiers de la Création,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Formation Infographie Éco-conception,,Fall,BAC,"Aix-en-Provence, Bordeaux, Caen, Montpellier, Nantes, Nice, Rennes, Toulouse, Tours",6400,3,French,,,,,,,
,BRASSART École des Métiers de la Création,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Formation Infographie Éco-conception,,Fall,BAC,Grenoble,6300,3,French,,,,,,,
,BRASSART École des Métiers de la Création,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Formation Direction Artistique,Direction artistique & Branding/Motion content/Digital thinking/Direction artistique & Branding/Motion content/Digital thinking/Interactivité & Innovation/ Espaces & Concepts Immersifs/,Fall,BAC,"Annecy, Lyon",6640,5,French,,,,,,,
,BRASSART École des Métiers de la Création,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Formation Direction Artistique,Direction artistique & Branding/Motion content/Digital thinking/Direction artistique & Branding/Motion content/Digital thinking/Interactivité & Innovation/ Espaces & Concepts Immersifs/,Fall,BAC,"Lille, Strasbourg",6540,5,French,,,,,,,
,BRASSART École des Métiers de la Création,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Formation Direction Artistique,Direction artistique & Branding/Motion content/Digital thinking/Direction artistique & Branding/Motion content/Digital thinking/Interactivité & Innovation/ Espaces & Concepts Immersifs/,Fall,BAC,"Aix-en-Provence, Bordeaux, Caen, Montpellier, Nantes, Nice, Rennes, Toulouse, Tours",6400,5,French,,,,,,,
,BRASSART École des Métiers de la Création,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Formation Direction Artistique,Direction artistique & Branding/Motion content/Digital thinking/Direction artistique & Branding/Motion content/Digital thinking/Interactivité & Innovation/ Espaces & Concepts Immersifs/,Fall,BAC,Grenoble,6300,5,French,,,,,,,
,BRASSART École des Métiers de la Création,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Formation Arts Graphiques & Illustration, Illustration jeunesse / BD/ Illustration jeunesse / BD/ Illustration jeunesse / BD/ Illustration jeunesse / BD/Concept Art & 3D/Concept Art & 3D/Concept Art & 3D/Concept Art & 3D/Storyboard & Animation 2D/Storyboard & Animation 2D/Storyboard & Animation 2D/Storyboard & Animation 2D/,Fall,BAC,Paris,8200,4,English,,,,,,,
,BRASSART École des Métiers de la Création,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Formation Arts Graphiques & Illustration, Illustration jeunesse / BD/ Illustration jeunesse / BD/ Illustration jeunesse / BD/ Illustration jeunesse / BD/Concept Art & 3D/Concept Art & 3D/Concept Art & 3D/Concept Art & 3D/Storyboard & Animation 2D/Storyboard & Animation 2D/Storyboard & Animation 2D/Storyboard & Animation 2D/,Fall,BAC,Paris,7700,4,French,,,,,,,
,BRASSART École des Métiers de la Création,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Formation Arts Graphiques & Illustration, Illustration jeunesse / BD/ Illustration jeunesse / BD/ Illustration jeunesse / BD/ Illustration jeunesse / BD/Concept Art & 3D/Concept Art & 3D/Concept Art & 3D/Concept Art & 3D/Storyboard & Animation 2D/Storyboard & Animation 2D/Storyboard & Animation 2D/Storyboard & Animation 2D/,Fall,BAC,"Annecy, Lyon",6640,4,French,,,,,,,
,BRASSART École des Métiers de la Création,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Formation Arts Graphiques & Illustration, Illustration jeunesse / BD/ Illustration jeunesse / BD/ Illustration jeunesse / BD/ Illustration jeunesse / BD/Concept Art & 3D/Concept Art & 3D/Concept Art & 3D/Concept Art & 3D/Storyboard & Animation 2D/Storyboard & Animation 2D/Storyboard & Animation 2D/Storyboard & Animation 2D/,Fall,BAC,"Lille, Strasbourg",6540,4,French,,,,,,,
,BRASSART École des Métiers de la Création,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Formation Arts Graphiques & Illustration, Illustration jeunesse / BD/ Illustration jeunesse / BD/ Illustration jeunesse / BD/ Illustration jeunesse / BD/Concept Art & 3D/Concept Art & 3D/Concept Art & 3D/Concept Art & 3D/Storyboard & Animation 2D/Storyboard & Animation 2D/Storyboard & Animation 2D/Storyboard & Animation 2D/,Fall,BAC,"Aix-en-Provence, Bordeaux, Caen, Montpellier, Nantes, Nice, Rennes, Toulouse, Tours",6400,4,French,,,,,,,
,BRASSART École des Métiers de la Création,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Formation Arts Graphiques & Illustration, Illustration jeunesse / BD/ Illustration jeunesse / BD/ Illustration jeunesse / BD/ Illustration jeunesse / BD/Concept Art & 3D/Concept Art & 3D/Concept Art & 3D/Concept Art & 3D/Storyboard & Animation 2D/Storyboard & Animation 2D/Storyboard & Animation 2D/Storyboard & Animation 2D/,Fall,BAC,Grenoble,6300,4,French,,,,,,,
,BRASSART École des Métiers de la Création,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Formation Animation 3D & Immersion,Animation & Rigg/Animation & Rigg/Modélisation & Look Development/Modélisation & Look Development/FX / Compositing VFX for game/FX / Compositing VFX for game/,Fall,BAC,"Aix-en-Provence, Bordeaux, Caen, Montpellier, Nantes, Nice, Rennes, Toulouse, Tours",6400,5,French,,,,,,,
